Price,# Bedroom,# Bathroom,size(square feet),homeType,address,Date,Today
"$2,800,000",6,7,3,-,"551 Saint Marks Ave FLOOR 2, Brooklyn, NY 11216",NAN,2021-10-19
"$2,320,000",2,2,1,-,"206 Front St PENTHOUSE B, Brooklyn, NY 11201",NAN,2021-10-19
"$499,000",S,1,6,-,"735 Lafayette Ave #4A, Brooklyn, NY 11221",NAN,2021-10-19
"$1,195,000",S,-,1,-,"246 Sherman St, Brooklyn, NY 11218",NAN,2021-10-19
"$545,000",3,2,1,-,"1062 Hendrix St, Brooklyn, NY 11207",NAN,2021-10-19
"$1,075,000",3,2,1,-,"2259 E 18th St, Brooklyn, NY 11229",NAN,2021-10-19
"$6,500,000",3,4,1,-,"111 Murray St #42A, New York, NY 10007",NAN,2021-10-19
"$1,900,000",3,2,7,-,"139 Pacific St APT 4, Brooklyn, NY 11201",NAN,2021-10-19
"$4,125,000",6,6,4,-,"92 Monroe St, Brooklyn, NY 11216",NAN,2021-10-19
"$450,000",S,1,-,-,"176 E 77th St APT 11A, New York, NY 10075",NAN,2021-10-19
"$3,695,000",3,4,-,-,"650 Park Ave APT 11F, New York, NY 10065",NAN,2021-10-19
"$500,000",1,1,8,-,"65-50 Wetherole St #2H, Rego Park, NY 11374",NAN,2021-10-19
"$859,000",S,1,4,-,"222 W 14th St APT 13C, New York, NY 10011",NAN,2021-10-19
"$635,000",2,2,8,-,"7009 45th Ave #3D, Woodside, NY 11377",NAN,2021-10-19
"$1,695,000",2,3,-,-,"425 E 58th St APT 38B, New York, NY 10022",NAN,2021-10-19
"$13,900,000",5,3,-,-,"271 Central Park W #9E, New York, NY 10024",NAN,2021-10-19
"$3,950,000",2,3,1,-,"404 Park Ave S APT 11C, New York, NY 10016",NAN,2021-10-19
"$835,000",1,1,6,-,"5-19 Borden Ave APT 7G, Long Island City, NY 11101",NAN,2021-10-19
"$799,000",1,1,6,-,"215 W 75th St APT 9A, New York, NY 10023",NAN,2021-10-19
"$3,295,000",3,3,2,-,"161 W 61st St #26FG, New York, NY 10023",NAN,2021-10-19
"$20,000,000",5,9,6,-,"1 W 72nd St #82-84, New York, NY 10023",NAN,2021-10-19
"$1,250,000",1,1,8,-,"400 Central Park W APT 3N, New York, NY 10025",NAN,2021-10-19
"$765,000",3,2,1,-,"2876 Zulette Ave, Bronx, NY 10461",NAN,2021-10-19
"$499,000",-,2,-,-,"220 Brighton 1st Ct, Brooklyn, NY 11235",NAN,2021-10-19
"$1,549,000",5,3,-,-,"18907 35th Ave, Flushing, NY 11358",NAN,2021-10-19
"$749,888",3,3,1,-,"2926 Lasalle Ave, Bronx, NY 10461",NAN,2021-10-19
"$489,000",3,3,2,-,"91 Redwood Loop, Staten Island, NY 10309",NAN,2021-10-19
"$499,000",S,1,6,-,"2932 Brighton 6th St, Brooklyn, NY 11235",NAN,2021-10-19
"$520,000",3,2,9,-,"32 Remsen St, Staten Island, NY 10304",NAN,2021-10-19
"$1,225,000",6,5,2,-,"623 Ramona Ave, Staten Island, NY 10309",NAN,2021-10-19
"$659,000",4,2,-,-,"86-02 124th St, Richmond Hill, NY 11418",NAN,2021-10-19
"$299,000",1,1,8,-,"269-10 Grand Central Pkwy #3C, Floral Park, NY 11005",NAN,2021-10-19
"$1,795,000",2,2,1,-,"98 Front St #6T, Brooklyn, NY 11201",NAN,2021-10-19
"$2,750,000",2,2,1,-,"111 Fulton St PENTHOUSE 110, New York, NY 10038",NAN,2021-10-19
"$550,000",1,1,6,-,"400 E 17th St APT 312, Brooklyn, NY 11226",NAN,2021-10-19
"$799,000",3,2,1,-,"2344 E 71st St, Brooklyn, NY 11234",NAN,2021-10-19
"$549,000",1,1,6,-,"819 Lexington Ave #4R, Brooklyn, NY 11221",NAN,2021-10-19
"$5,950,000",3,3,3,-,"414 Washington St #4A, New York, NY 10013",NAN,2021-10-19
"$1,799,000",5,4,3,-,"2568 14th St, Long Island City, NY 11102",NAN,2021-10-19
"$1,595,000",2,2,1,-,"243 W 70th St APT 4A, New York, NY 10023",NAN,2021-10-19
"$1,100,000",1,1,7,-,"70 Berry St APT 6C, Brooklyn, NY 11249",NAN,2021-10-19
"$3,850,000",2,3,1,-,"205 W 76th St APT 1401, New York, NY 10023",NAN,2021-10-19
"$849,000",4,2,1,-,"117 Piave Ave, Staten Island, NY 10305",NAN,2021-10-19
"$1,890,000",1,7,5,-,"448 40th St #6, Brooklyn, NY 11232",NAN,2021-10-19
"$899,000",6,2,2,-,"84-22 91st Ave, Woodhaven, NY 11421",NAN,2021-10-19
"$900,000",2,2,8,-,"109-15 72nd Rd #3B, Forest Hills, NY 11375",NAN,2021-10-19
"$1,500,000",5,6,2,-,"158 Beach 122nd St, Rockaway, NY 11694",NAN,2021-10-19
"$768,000",4,3,1,-,"24432 85th Ave, Bellerose, NY 11426",NAN,2021-10-19
"$600,000",2,1,9,-,"84-25 Elmhurst Ave #6J, Elmhurst, NY 11373",NAN,2021-10-19
"$680,000",3,3,1,-,"167 Arthur Ave, Staten Island, NY 10305",NAN,2021-10-19
"$729,000",4,2,-,-,"1531 Longfellow Ave, Bronx, NY 10460",NAN,2021-10-19
"$628,000",2,2,1,-,"1663 W 6th St APT 3A, Brooklyn, NY 11223",NAN,2021-10-19
"$1,380,000",5,4,-,-,"56-30 E Hampton Blvd, Oakland Gardens, NY 11364",NAN,2021-10-19
"$949,000",3,3,1,-,"25-17 76th St, East Elmhurst, NY 11370",NAN,2021-10-19
"$1,299,000",-,3,1,-,"490 Van Sicklen St, Brooklyn, NY 11223",NAN,2021-10-19
"$268,900",2,1,8,-,"3178 Nostrand Ave APT 6L, Brooklyn, NY 11229",NAN,2021-10-19
"$499,000",-,3,-,-,"2920 Brighton 8th St, Brooklyn, NY 11235",NAN,2021-10-19
"$899,000",2,1,9,-,"760 Bergen St APT 2L, Brooklyn, NY 11238",NAN,2021-10-19
"$479,000",S,1,5,-,"618 Monroe St APT 202, Brooklyn, NY 11221",NAN,2021-10-19
"$825,000",1,1,8,-,"71 Orange St APT 22, Brooklyn, NY 11201",NAN,2021-10-19
"$599,000",3,3,1,-,"115-30 205th St, Saint Albans, NY 11412",NAN,2021-10-19
"$1,925,000",2,2,1,-,"85 Jay St FRONT 4F, Brooklyn, NY 11201",NAN,2021-10-19
"$520,000",S,1,-,-,"185 W End Ave APT 12J, New York, NY 10023",NAN,2021-10-19
"$1,058,000",1,1,8,-,"138-35 39th Ave UNIT 4K, Flushing, NY 11354",NAN,2021-10-19
"$685,000",3,2,1,-,"3536 Cambridge Ave APT 5C, Bronx, NY 10463",NAN,2021-10-19
"$735,000",1,1,-,-,"16 W 16th St APT 1TS, New York, NY 10011",NAN,2021-10-19
"$3,195,000",3,2,-,-,"1035 Park Ave #7B, New York, NY 10028",NAN,2021-10-19
"$425,000",2,1,-,-,"37-26 87th St #2BB, Jackson Heights, NY 11372",NAN,2021-10-19
"$1,699,000",8,3,3,-,"1824 Fowler Ave, Bronx, NY 10462",NAN,2021-10-19
"$688,000",4,2,1,-,"26 Ramblewood Ave, Staten Island, NY 10308",NAN,2021-10-19
"$1,350,000",-,6,3,-,"328 Ovington Ave, Brooklyn, NY 11209",NAN,2021-10-19
"$649,000",3,2,-,-,"133-06 Linden Blvd, South Ozone Park, NY 11420",NAN,2021-10-19
"$498,000",1,1,7,-,"100-25 Queens Blvd #7D, Forest Hills, NY 11375",NAN,2021-10-19
"$449,000",3,2,1,-,"397 Neckar Ave #A, Staten Island, NY 10304",NAN,2021-10-19
"$515,000",3,2,-,-,"110-38 158th St, Jamaica, NY 11433",NAN,2021-10-19
"$764,900",3,3,-,-,"49 Sheridan Ave, Brooklyn, NY 11208",NAN,2021-10-19
"$1,999,999",8,4,5,-,"212 Longstreet Ave, Bronx, NY 10465",NAN,2021-10-19
"$1,075,000",3,2,1,-,"2259 E 18th St, Brooklyn, NY 11229",NAN,2021-10-19
"$1,099,000",3,3,2,-,"2308 60th St, Brooklyn, NY 11204",NAN,2021-10-19
"$4,000,000",1,9,-,-,"199 Meserole St, Brooklyn, NY 11206",NAN,2021-10-19
"$650,000",3,2,1,-,"2318 Morgan Ave, Bronx, NY 10469",NAN,2021-10-19
"$255,000",1,1,-,-,"212-04 73rd Ave APT 6P, Oakland Gardens, NY 11364",NAN,2021-10-19
"$1,500,000",7,3,5,-,"347 Westervelt Ave, Staten Island, NY 10301",NAN,2021-10-19
"$669,000",4,4,1,-,"120-30 147th St, Jamaica, NY 11436",NAN,2021-10-19
"$1,358,888",5,3,-,-,"49-75 175th Pl, Fresh Meadows, NY 11365",NAN,2021-10-19
"$289,000",1,1,-,-,"67-50 Thornton Pl APT 2T, Forest Hills, NY 11375",NAN,2021-10-19
"$889,999",2,1,-,-,"68-14 60th Rd, Maspeth, NY 11378",NAN,2021-10-19
"$358,000",2,1,7,-,"72-65 Little Neck Pkwy #65B, Glen Oaks, NY 11004",NAN,2021-10-19
"$385,000",1,1,-,-,"138-15 Franklin Ave APT 405, Flushing, NY 11355",NAN,2021-10-19
"$418,000",1,1,9,-,"14205 Roosevelt Ave APT 505, Flushing, NY 11354",NAN,2021-10-19
"$495,000",2,1,1,-,"1831 Nereid Ave, Bronx, NY 10466",NAN,2021-10-19
"$459,000",1,1,-,-,"77 Eastern Pkwy #D5, Brooklyn, NY 11238",NAN,2021-10-19
"$2,625,000",3,3,1,-,"85 Jay St #7E, Brooklyn, NY 11201",NAN,2021-10-19
"$1,495,000",3,3,1,-,"1003 E 3rd St, Brooklyn, NY 11230",NAN,2021-10-19
"$339,000",1,1,7,-,"65-35 Yellowstone Blvd #4G, Forest Hills, NY 11375",NAN,2021-10-19
"$725,000",3,2,1,-,"1646 Colden Ave, Bronx, NY 10462",NAN,2021-10-19
"$475,000",1,1,4,-,"166 E 92nd St APT 1D, New York, NY 10128",NAN,2021-10-19
"$1,300,000",1,2,-,-,"305 W 72nd St APT 2A, New York, NY 10023",NAN,2021-10-19
"$1,575,000",2,2,1,-,"35 Park Ave APT 10G, New York, NY 10016",NAN,2021-10-19
"$775,000",3,2,9,-,"148 Atlantic Ave, Staten Island, NY 10304",NAN,2021-10-19
"$1,375,000",S,1,6,-,"108 Leonard St APT 2E, New York, NY 10013",NAN,2021-10-19
"$1,050,000",4,2,1,-,"309 E 108th St APT 2E, New York, NY 10029",NAN,2021-10-19
"$574,999",3,2,1,-,"1373 Hollywood Ave, Bronx, NY 10461",NAN,2021-10-19
"$1,275,000",9,5,4,-,"2845 E 196th St, Bronx, NY 10461",NAN,2021-10-19
"$1,800,000",2,2,1,-,"121 E 23rd St APT 5D, New York, NY 10010",NAN,2021-10-19
"$839,000",1,1,7,-,"13103 40th Rd #11S, Flushing, NY 11354",NAN,2021-10-19
"$2,500,000",2,2,1,-,"333 W 56th St #5MN, New York, NY 10019",NAN,2021-10-19
"$1,175,000",1,1,9,-,"310 E 46th St APT 5V, New York, NY 10017",NAN,2021-10-19
"$390,000",2,1,-,-,"1901 Madison Ave APT 404, New York, NY 10035",NAN,2021-10-19
"$730,000",2,2,7,-,"131-11 Fowler Ave #7A, Flushing, NY 11355",NAN,2021-10-19
"$1,249,000",4,3,-,-,"214-02 40th Ave, Bayside, NY 11361",NAN,2021-10-19
"$775,000",5,2,1,-,"24120 Caney Rd, Jamaica, NY 11422",NAN,2021-10-19
"$3,250,000",4,4,3,-,"279 Wyckoff St, Brooklyn, NY 11217",NAN,2021-10-19
"$2,425,000",3,3,1,-,"50 Bridge Park Dr #3C, Brooklyn, NY 11201",NAN,2021-10-19
"$850,000",5,2,1,-,"14038 Charles Ln, Jamaica, NY 11413",NAN,2021-10-19
"$600,000",4,2,1,-,"3748 Polar St, Brooklyn, NY 11224",NAN,2021-10-19
"$1,699,000",3,3,1,-,"1160 E 5th St, Brooklyn, NY 11230",NAN,2021-10-19
"$349,900",2,2,1,-,"1874 Pelham Pkwy S APT 4R, Bronx, NY 10461",NAN,2021-10-19
"$8,495,000",2,3,2,-,"515 18th St #1016, New York, NY 10011",NAN,2021-10-19
"$725,000",1,1,6,-,"181 E 101st St #508, New York, NY 10029",NAN,2021-10-19
"$525,000",S,1,4,-,"181 E 101st St #505, New York, NY 10029",NAN,2021-10-19
"$1,250,000",3,2,1,-,"181 E 101st St #606, New York, NY 10029",NAN,2021-10-19
"$1,165,000",3,2,9,-,"181 E 101st St #509, New York, NY 10029",NAN,2021-10-19
"$610,000",S,1,5,-,"181 E 101st St #602, New York, NY 10029",NAN,2021-10-19
"$500,000",S,1,4,-,"181 E 101st St #407, New York, NY 10029",NAN,2021-10-19
"$835,000",2,2,7,-,"181 E 101st St #403, New York, NY 10029",NAN,2021-10-19
"$765,000",1,1,6,-,"181 E 101st St #401, New York, NY 10029",NAN,2021-10-19
"$2,425,000",1,2,1,-,"515 18th St #601, New York, NY 10011",NAN,2021-10-19
"$16,490,000",6,6,3,-,"1 Central Park S #110102, New York, NY 10019",NAN,2021-10-19
"$888,888",4,3,-,-,"84-01 Doran Ave, Ridgewood, NY 11385",NAN,2021-10-19
"$125,000",1,1,5,-,"3692 Broadway #4, New York, NY 10031",NAN,2021-10-19
"$889,000",7,4,3,-,"1421 Teller Ave, Bronx, NY 10456",NAN,2021-10-19
"$449,000",3,2,1,-,"31 Marc St, Staten Island, NY 10314",NAN,2021-10-19
"$648,000",3,3,1,-,"68 Caswell Ln, Staten Island, NY 10314",NAN,2021-10-19
"$180,000",2,1,7,-,"920 Metcalf Ave APT 5A, Bronx, NY 10473",NAN,2021-10-19
"$768,000",2,2,1,-,"140-55 34th Ave #2J, Flushing, NY 11354",NAN,2021-10-19
"$999,000",3,4,3,-,"189 Mason Blvd, Staten Island, NY 10309",NAN,2021-10-19
"$999,000",3,4,3,-,"197 Mason Blvd, Staten Island, NY 10309",NAN,2021-10-19
"$679,000",3,1,1,-,"364 Sleight Ave, Staten Island, NY 10307",NAN,2021-10-19
"$930,000",2,2,7,-,"86 Canal St #8D, New York, NY 10002",NAN,2021-10-19
"$999,999",3,2,1,-,"1370 E 26th St, Brooklyn, NY 11210",NAN,2021-10-19
"$833,888",4,3,-,-,"240-43 66th Ave, Little Neck, NY 11362",NAN,2021-10-19
"$1,199,000",3,5,1,-,"218 Rensselaer Ave, Staten Island, NY 10312",NAN,2021-10-19
"$995,000",2,1,1,-,"56 Court St APT 3B, Brooklyn, NY 11201",NAN,2021-10-19
"$1,550,000",2,2,1,-,"40 Broad St FRONT 1H, New York, NY 10004",NAN,2021-10-19
"$3,795,000",4,3,2,-,"573 4th St, Brooklyn, NY 11215",NAN,2021-10-19
"$3,600,000",7,6,5,-,"130 Lincoln Rd #1, Brooklyn, NY 11225",NAN,2021-10-19
"$449,000",2,1,-,-,"69-10 Yellowstone Blvd #520, Forest Hills, NY 11375",NAN,2021-10-19
"$1,995,000",3,3,1,-,"200 Riverside Blvd APT 7A, New York, NY 10069",NAN,2021-10-19
"$695,000",2,1,6,-,"1810 3rd Ave APT A8A, New York, NY 10029",NAN,2021-10-19
"$1,995,000",3,3,1,-,"200 Riverside Blvd APT 7A, New York, NY 10069",NAN,2021-10-19
"$5,400,000",3,4,2,-,"400 Park Ave S APT 28B, New York, NY 10016",NAN,2021-10-19
"$600,000",4,2,-,-,"2952 Gunther Ave, Bronx, NY 10469",NAN,2021-10-19
"$929,000",6,4,2,-,"2233 Boller Ave, Bronx, NY 10475",NAN,2021-10-19
"$625,000",-,1,1,-,"5 Winthrop Pl, Staten Island, NY 10314",NAN,2021-10-19
"$335,000",1,1,7,-,"55-25 31st Ave APT 6P, Woodside, NY 11377",NAN,2021-10-19
"$879,000",4,3,-,-,"11114 91st Ave, Jamaica, NY 11418",NAN,2021-10-19
"$535,000",3,1,-,-,"101 Linden St #4EE, Brooklyn, NY 11221",NAN,2021-10-19
"$599,000",2,2,1,-,"2158 Ocean Ave APT 2A, Brooklyn, NY 11229",NAN,2021-10-19
"$1,695,000",2,1,-,-,"27 Prospect Park W #4B, Brooklyn, NY 11215",NAN,2021-10-19
"$1,588,000",4,3,2,-,"92 Bay Ridge Ave, Brooklyn, NY 11220",NAN,2021-10-19
"$975,000",2,3,1,-,"392 11th St APT 1A, Brooklyn, NY 11215",NAN,2021-10-19
"$635,000",1,1,-,-,"170 W 74th St APT 1207, New York, NY 10023",NAN,2021-10-19
"$1,438,888",5,4,2,-,"2638 169th St, Flushing, NY 11358",NAN,2021-10-19
"$599,000",1,1,-,-,"771 W End Ave APT 3C1, New York, NY 10025",NAN,2021-10-19
"$2,195,000",2,2,1,-,"110 3rd Ave APT 8A, New York, NY 10003",NAN,2021-10-19
"$730,000",6,2,-,-,"322 Beach 48 St, Far Rockaway, NY 11691",NAN,2021-10-19
"$6,500,000",4,2,2,-,"19 Avenue D, New York, NY 10009",NAN,2021-10-19
"$799,000",4,2,2,-,"3130 Kingsland Ave, Bronx, NY 10469",NAN,2021-10-19
"$349,900",2,2,1,-,"1874 Pelham Pkwy S APT 4R, Bronx, NY 10461",NAN,2021-10-19
"$650,000",3,2,2,-,"182 Beach 99th St, Far Rockaway, NY 11694",NAN,2021-10-19
"$525,000",2,1,1,-,"114-56 212th St, Cambria Heights, NY 11411",NAN,2021-10-19
"$598,000",3,2,1,-,"11219 39th Ave #1B, Corona, NY 11368",NAN,2021-10-19
"$999,000",5,4,3,-,"260 Hillman Ave, Staten Island, NY 10314",NAN,2021-10-19
"$2,299,000",4,5,3,-,"100 Copperflagg Ln, Staten Island, NY 10304",NAN,2021-10-19
"$1,650,000",2,2,-,-,"645 W End Ave APT 2F, New York, NY 10025",NAN,2021-10-19
"$1,388,888",2,2,-,-,"214-01 47th Ave, Bayside, NY 11361",NAN,2021-10-19
"$220,000",S,1,4,-,"84-20 51st Ave #4A, Elmhurst, NY 11373",NAN,2021-10-19
"$1,188,000",4,3,1,-,"365 Liberty Ave, Staten Island, NY 10305",NAN,2021-10-19
"$409,000",2,2,9,-,"654 Wilcox Ave, Bronx, NY 10465",NAN,2021-10-19
"$790,000",6,2,1,-,"1209 Beach Ave, Bronx, NY 10472",NAN,2021-10-19
"$1,150,000",6,3,-,-,"108-53 50th Ave, Corona, NY 11368",NAN,2021-10-19
"$589,000",3,2,-,-,"103-20 124th St, South Richmond Hill, NY 11419",NAN,2021-10-19
"$780,000",3,2,1,-,"133-35 124th St, South Ozone Park, NY 11420",NAN,2021-10-19
"$1,050,000",4,2,1,-,"2821 202nd St, Flushing, NY 11360",NAN,2021-10-19
"$899,000",3,2,-,-,"117-20 8th Ave, College Pt, NY 11356",NAN,2021-10-19
"$419,000",1,1,-,-,"69-63 Park Dr E #B, Flushing, NY 11367",NAN,2021-10-19
"$1,125,000",1,1,8,-,"510 Driggs Ave #4J, Brooklyn, NY 11211",NAN,2021-10-19
"$675,000",3,3,1,-,"21 Stobe Ave, Staten Island, NY 10306",NAN,2021-10-19
"$1,180,000",4,4,-,-,"198 Laguardia Ave, Staten Island, NY 10314",NAN,2021-10-19
"$925,000",5,3,-,-,"185-01 Galway Ave, Saint Albans, NY 11412",NAN,2021-10-19
"$278,800",S,1,6,-,"220-55 46th Ave APT 8M, Bayside, NY 11361",NAN,2021-10-19
"$649,000",1,1,6,-,"638 Warren St APT 1L, Brooklyn, NY 11217",NAN,2021-10-19
"$635,000",S,1,4,-,"350 W 53rd St APT 3E, New York, NY 10019",NAN,2021-10-19
"$349,900",1,1,1,-,"3530 Henry Hudson Pkwy APT 11F, Bronx, NY 10463",NAN,2021-10-19
"$329,888",2,1,9,-,"42-14 Union St #4B, Flushing, NY 11355",NAN,2021-10-19
"$220,000",1,1,7,-,"26-19 141st St #4F, Flushing, NY 11354",NAN,2021-10-19
"$499,000",1,1,5,-,"26 Goodwin Pl #4R, Brooklyn, NY 11221",NAN,2021-10-19
"$49,900,000",5,7,8,-,"25 Columbus Cir FLOOR 80, New York, NY 10019",NAN,2021-10-19
"$415,000",1,1,-,-,"240 E 76th St APT 2A, New York, NY 10021",NAN,2021-10-19
"$2,750,000",6,6,-,-,"128 Guernsey St, Brooklyn, NY 11222",NAN,2021-10-19
"$964,900",4,5,2,-,"188 Sinclair Ave, Staten Island, NY 10312",NAN,2021-10-19
"$1,200,000",4,2,-,-,"2222 E 17th St, Brooklyn, NY 11229",NAN,2021-10-19
"$748,000",3,1,1,-,"115-16 Poppenhusen Ave, College Pt, NY 11356",NAN,2021-10-19
"$465,000",2,1,4,-,"887 Pine St, Brooklyn, NY 11208",NAN,2021-10-19
"$575,000",S,1,5,-,"226 50th Ave APT 4A, Long Island City, NY 11101",NAN,2021-10-19
"$1,425,000",3,1,-,-,"210 W 21st St APT 6FE, New York, NY 10011",NAN,2021-10-19
"$3,250,000",4,4,2,-,"2025 Broadway, New York, NY 10023",NAN,2021-10-19
"$1,000,000",1,1,7,-,"344 W 23rd St APT 5E, New York, NY 10011",NAN,2021-10-19
"$769,000",2,1,1,-,"148-51 60th Ave, Flushing, NY 11355",NAN,2021-10-19
"$879,000",5,2,1,-,"75-08 60th Ln, Ridgewood, NY 11385",NAN,2021-10-19
"$875,000",3,2,1,-,"6424 84th St, Flushing, NY 11379",NAN,2021-10-19
"$395,000",1,1,7,-,"190 Fordham St APT 2, Bronx, NY 10464",NAN,2021-10-19
"$715,000",3,2,1,-,"3264 Fairmount Ave, Bronx, NY 10465",NAN,2021-10-19
"$318,888",2,1,-,-,"217-12 73rd Ave #385A2, Oakland Gardens, NY 11364",NAN,2021-10-19
"$530,000",3,2,-,-,"183-15 145th Dr, Springfield Gardens, NY 11413",NAN,2021-10-19
"$499,900",3,3,1,-,"225 Signs Rd APT C, Staten Island, NY 10314",NAN,2021-10-19
"$1,399,000",8,5,3,-,"7137 66th Dr, Flushing, NY 11379",NAN,2021-10-19
"$419,000",2,2,9,-,"27 Regis Dr, Staten Island, NY 10314",NAN,2021-10-19
"$1,780,000",3,3,-,-,"227 E 57th St #12EG, New York, NY 10022",NAN,2021-10-19
"$680,000",3,2,1,-,"80-72 88th Rd, Woodhaven, NY 11421",NAN,2021-10-19
"$673,000",3,3,1,-,"105-06 103rd Ave, Ozone Park, NY 11417",NAN,2021-10-19
"$985,000",1,1,8,-,"65 Central Park W APT 4F, New York, NY 10023",NAN,2021-10-19
"$2,495,000",3,4,2,-,"160 Imlay St APT 6D2, Brooklyn, NY 11231",NAN,2021-10-19
"$845,000",2,1,-,-,"188 Meserole Ave APT 4S, Brooklyn, NY 11222",NAN,2021-10-19
"$875,000",8,3,2,-,"658 E 216th St, Bronx, NY 10467",NAN,2021-10-19
"$698,888",3,2,1,-,"91-46 82nd St, Woodhaven, NY 11421",NAN,2021-10-19
"$275,000",1,1,-,-,"66-01 Burns St #3Z, Rego Park, NY 11374",NAN,2021-10-19
"$3,199,000",4,4,3,-,"2223 Avenue M, Brooklyn, NY 11210",NAN,2021-10-19
"$684,900",3,2,1,-,"84 Hewitt Ave, Staten Island, NY 10301",NAN,2021-10-19
"$699,999",4,3,-,-,"194-18A SW Hollis Ave, Saint Albans, NY 11412",NAN,2021-10-19
"$528,000",4,1,1,-,"18 Laurel Ave, Staten Island, NY 10304",NAN,2021-10-19
"$419,000",1,1,7,-,"8371 116th St APT 6C, Richmond Hill, NY 11418",NAN,2021-10-19
"$640,000",1,1,6,-,"1326 Madison Ave APT 23, New York, NY 10128",NAN,2021-10-19
"$579,000",3,3,1,-,"1751 E 53rd St, Brooklyn, NY 11234",NAN,2021-10-19
"$2,900,000",1,2,1,-,"122 Greenwich Ave APT 6, New York, NY 10011",NAN,2021-10-19
"$579,000",3,3,8,-,"150-61 116th Rd, Jamaica, NY 11434",NAN,2021-10-19
"$1,300,000",5,5,2,-,"1342 Gates Ave, Brooklyn, NY 11221",NAN,2021-10-19
"$859,000",3,3,-,-,"105-10 217th Ln, Queens Village, NY 11429",NAN,2021-10-19
"$898,000",8,3,3,-,"498 Concord Ave, Bronx, NY 10455",NAN,2021-10-19
"$595,000",1,1,4,-,"100 Maspeth Ave APT 6K, Brooklyn, NY 11211",NAN,2021-10-19
"$368,888",2,2,1,-,"36 Hamilton Ave APT 5D, Staten Island, NY 10301",NAN,2021-10-19
"$799,000",3,2,1,-,"7711 62nd St, Glendale, NY 11385",NAN,2021-10-19
"$699,800",4,3,-,-,"104-20 204th St, Saint Albans, NY 11412",NAN,2021-10-19
"$649,000",4,3,1,-,"45 Gloria Ct, Staten Island, NY 10302",NAN,2021-10-19
"$350,000",2,2,-,-,"83-11 139th St #3F, Jamaica, NY 11435",NAN,2021-10-19
"$1,530,000",4,3,2,-,"15434 21st Ave, Flushing, NY 11357",NAN,2021-10-19
"$1,575,000",2,1,1,-,"215 W 92nd St APT 3F, New York, NY 10025",NAN,2021-10-19
"$1,125,000",5,2,1,-,"1515 64th St, Brooklyn, NY 11219",NAN,2021-10-19
"$308,000",1,1,5,-,"20 Donna Ct APT 9, Staten Island, NY 10314",NAN,2021-10-19
"$589,000",1,1,4,-,"100 Maspeth Ave APT 4K, Brooklyn, NY 11211",NAN,2021-10-19
"$2,600,000",8,4,3,-,"1824 55th St, Brooklyn, NY 11204",NAN,2021-10-19
"$899,000",5,3,2,-,"3238 White Plains Rd #1, Bronx, NY 10467",NAN,2021-10-19
